csv_organization,name,status,address,year,contributions,revenue
Kello,Institute for Citizens & Scholars,Current,"104 Carnegie Center Dr,, Suite 301, Princeton, New Jersey, 08540",2024,"$5,532,133.00","$6,848,256.00"
Kello,Prison Fellowship Ministries,Current,"44180 Riverside Parkway, Lansdowne, Virginia, 20176",2025,"$64,984,332.00","$70,344,398.00"
Kello,The Cahn Fellows Programs Corporation,Current,"950 N. Washington Street, 3rd Floor, Alexandria, Virginia, 22314",2024,"$1,951,667.00","$2,814,396.00"
Kello,The Chancellor-Watson Charitable Foundation Incorporated,Not Current,"2643 East Madison Street, Unit A, Baltimore, Maryland, 21205",2022,$0.00,$0.00
Kello,"THE TAKI ALSOP CONDUCTING FELLOWSHIP, INC.",Current,"P.O. BOX 4725, BALTIMORE, Maryland, 21211",2024,"$1,062,078.00","$1,147,931.00"
Ant Technology LLC,Friends of the Workforce and Technology Center,Current,"2301 Argonne Drive, Baltimore, Maryland, 21218",2025,"$3,504.00",$0.00
Ant Technology LLC,Grameen Foundation USA,Current,"2001 L Street NW Suite 500, Washington, District of Columbia, 20036",2024,"$4,740,634.00","$7,973,209.00"
Ant Technology LLC,"Southern Maryland Applied Research and Technology Consortium, Inc.",Closed,", , ,",2012,"$7,478.00","$21,234.00"
Rockcreek,PTA Maryland Congress Rock Creek Forest Elementary School Parent Teacher Association,Current,"8330 Grubb Rd., Chevy Chase, Maryland, 20815",2024,"$58,005.00","$37,862.00"
Rockcreek,Rock Creek Cats Inc.,Current,"3510 Nimitz Road, Kensington, Maryland, 20895",2024,"$22,990.00","$22,990.00"
Rockcreek,"Rock Creek Conservancy, Inc.",Pending,"7200 Wisconsin Ave Suite 500, Bethesda, Maryland, 20814",2024,"$2,286,887.00","$2,545,706.00"
Rockcreek,Rock Creek Foundation for Mental Health (The),Delinquent,"12200 Tech Road, Suite 330, Silver Spring, Maryland, 20904",2023,$0.00,"$12,478,794.00"
Rockcreek,Rock Creek Morris Women,Not Current,", , ,",,,
Rockcreek,"Rock Creek School PTA, Inc.",Closed,", , ,",2009,$726.00,"$9,743.00"
Rockcreek,"Rock Creek Valley Elementary School PTA, Inc.",Current,"5121 Russett Road, Rockville, Maryland, 20853",2025,"$12,187.00",$0.00
CARECEN,"Adullum Community Healthcare Center, Inc.",Delinquent,", , ,",2019,"$32,771.19","$34,076.29"
CARECEN,"Adventist Health Care, Inc.",Current,"820 W Diamond Ave, Gaithersburg, Maryland, 20878",2024,"$3,959,071.00","$909,767,420.00"
CARECEN,"American Center for Law and Justice, Inc.",Current,"1000 Regent University Drive, Suite 422  Robertson Hall, Virginia Beach, Virginia, 26464",2025,"$22,796,196.00","$30,227,170.00"
CARECEN,Anne Carlsen Center,Current,"701 3rd Street NW, Jamestown, North Dakota, 58402",2024,"$957,459.00","$43,561,817.00"
CARECEN,"Asian American Healthcare Center, Inc.",Current,"10632 Little Patuxent Parkway, Suite 300B, Columbia, Maryland, 21044",2024,"$68,527.00","$81,179.00"
CARECEN,"BUCC Services, Fernwood Child Care Center",Closed,", , ,",,,
CARECEN,"Caring Network, NFP",Exempt,"1200 Roosevelt Rd, Ste 114, Glen Ellyn, Illinois, 60137",2025,"$5,137,856.00","$5,026,957.00"
CARECEN,Carolyn Boone Lewis Health Care Center,Closed,", , ,",2009,$0.00,"$14,555,481.00"
CARECEN,"Carroll Child Care Center, Inc.",Pending,"224 N. Center Street, Westminster, Maryland, 21157",2023,"$30,497.00","$582,490.00"
CARECEN,"Center for the Inland Bays, Inc.",Delinquent,"39375 Inlet Road, Rehoboth Beach, Delaware, 19971",2022,"$872,385.00","$2,485,646.00"
CARECEN,Central American Resource Center,Pending,"1460 Columbia Rd NW. Suite C-1., Washington, District of Columbia, 20009",2024,"$1,031,587.00","$2,822,577.00"
CARECEN,"Children's Healthcare of Atlanta Foundation, Inc.",Current,"1575 Northeast Expressway, 6th Floor, Atlanta, Georgia, 30329",2024,"$131,491,039.00","$139,163,816.00"
CARECEN,Children's Hospital Medical Center,Current,"3333 Burnet Ave, Cincinnati, Ohio, 45229",2024,"$228,587,508.00","$3,426,543,123.00"
CARECEN,"Christian Advocates Serving Evangelism, Inc.",Current,"6634 Highway 53 Suite 210, Braselton, Georgia, 30517",2024,"$58,026,247.00","$62,710,767.00"
CARECEN,Christle Lighthouse Pregnancy Care Center,Delinquent,", , ,",2020,"$29,826.00","$29,826.00"
CARECEN,City Of Hope,Current,"1500 East Duarte Road, Duarte, California, 91010",2024,"$287,274,285.00","$413,306,194.00"
CARECEN,"Clara Barton Day Care Center, Inc.",Current,"7425 MacArthur Blvd., Cabin John, Maryland, 20818",2024,"$10,879.00","$1,594,875.00"
CARECEN,"Cooperman Barnabas Medical Center, Inc.",Delinquent,"94 Old Short Hills Rd., Livingston, New Jersey, 07039",2022,"$6,437,733.00","$1,101,544,999.00"
CARECEN,"Easton Day Care Center, Inc.",Current,"15 South Hanson Street, Easton, Maryland, 21601",2024,"$671,284.00","$3,256,563.00"
CARECEN,"El Shaddi Care Center, Inc.",Not Current,", , ,",2020,"$5,509.00",$0.00
CARECEN,"Emmitsburg Osteopathic Primary Care Center, Inc.",Current,"121 W. Main Street, Emmitsburg, Maryland, 21727",2024,"$143,050.00","$430,422.00"
480 Club LLC,Grow & Show 4-H Club,Closed,", , ,",,,
480 Club LLC,"Harford County 4-H Clubs, Inc.",Delinquent,"6 Cherry Hill Road, Street, Maryland, 21154",2021,"$25,160.00","$180,932.00"
JSSA,"54th Massachusetts Volunteer Infantry, Inc.",Not Current,", , ,",2017,"$5,216.23",$0.00
JSSA,"A Message of Hope Cancer Fund, Inc.",Delinquent,"39592 Walnut Circle, Mechanicsville, Maryland, 20659",2022,"$99,140.00","$74,764.00"
JSSA,"Ambassador's for Christ Ministry, Inc.",Closed,", , ,",2012,$0.00,$0.00
JSSA,"Ambassadors for Christ International Ministries, Inc.",Delinquent,"10298 Germantown Road, , ,",2020,"$47,820.00","$47,820.00"
JSSA,"Ambassadors for Christ, Inc.",Closed,"21 Ambassador Dr, Paradise, Pennsylvania, 17562",2020,"$3,527,252.00","$5,323,967.00"
JSSA,"Assateague Coastal Trust, Inc.",Pending,"10031 Old Ocean City Blvd, Suite 102, Berlin, Maryland, 21811",2024,"$122,832.00","$148,058.00"
